用户ID,用户名,每日投注累积,日期
1393747,a032a,3509.6,20150929
1101961,a03743a,2184.8,20150929
1298159,a1106450217,10,20150929
1112093,a11468476,200,20150929
1042323,a119828761,2.6,20150929
1237075,a13346560676,5102.8,20150929
1397544,a1350401a,171,20150929
1398934,a13753378236,2,20150929
1091880,a138138138a,32,20150929
1043481,a13964363450,108,20150929
1268220,a15218998588,3931.8,20150929
959466,a152750,1327.8,20150929
1109909,a1614268227,4,20150929
841565,a18254355259,16.4,20150929
1110693,a18996082532,0.4,20150929
1395869,a1964400976,200,20150929
1269244,a198509120,8,20150929
1008019,a20130904,80,20150929
1334928,a2281062,278,20150929
1236880,a250725910,1,20150929
1155578,a2512347gf,1509.2,20150929
1353546,a2822781,2,20150929
1317360,a284801231,2197,20150929
1370662,a292587780,100,20150929
1380481,a304463242,17077.2,20150929
1374490,a33313333,0.4,20150929
1290849,a3394588,30,20150929
1090090,a3423708,66,20150929
1382419,a34645656,2,20150929
1081054,a365661,24,20150929
872214,a368963091,160,20150929
1397871,a452948133,28,20150929
1287678,a464519762,58,20150929
1282646,a52346740,548.4,20150929
1368450,a525458246,6,20150929
1368851,a52950309,10,20150929
1212656,a530894452,2,20150929
1382394,a541972999,6,20150929
1182076,a547597523,6,20150929
1381435,a555555,35,20150929
1236339,a5890369,1780,20150929
1369792,a6660666,73.8,20150929
1368204,a6668666,0.8,20150929
1304654,a692672,35.2,20150929
1298802,a695983734,2,20150929
1369657,a78447255,2,20150929
1333207,a822135,94,20150929
1398401,a8228484,14,20150929
1149346,a8388888888,2,20150929
1178320,a841209592,1,20150929
1373491,a877890477,40,20150929
1394410,a8881271,12050,20150929
1380639,a8883888,28,20150929
1091741,a91670,4,20150929
1387507,a9993999,2.6,20150929
1393449,aa1066010646,30,20150929
299593,aa133a88j,39000,20150929
1270472,aa1789aa,1.8,20150929
1384477,aa2580s,1.2,20150929
1334699,aa284999239,0.2,20150929
1111558,aa5310,32,20150929
1398159,aaa0005,21.6,20150929
1309744,aaa6688520,20,20150929
1319911,aaa812319964,2.6,20150929
1378564,aaaa147258,2300,20150929
1105222,aaaaa138,328.8,20150929
1082784,aakk123,2671.6,20150929
1298827,abb411,0.8,20150929
1373573,abc0769,650.2,20150929
1381708,abc13734617792,0.4,20150929
1366512,abc2927264,20,20150929
1276525,abc333666999,0.2,20150929
1325271,abc441045976,2,20150929
814771,abcabc6688,70,20150929
1244154,ac335512,1362.8,20150929
700530,ad88015,21.4,20150929
1289838,adu121121,125,20150929
1195993,afuhong2015,2,20150929
1266271,ag845381060,128,20150929
1336383,ai110721905,140,20150929
1183449,aichun,2.4,20150929
1009892,aifangqian,552,20150929
1398953,aihao321,78.4,20150929
1338892,ailaibao,4680,20150929
1277544,aiqingqing,2,20150929
