用户ID,用户名,每日投注累积,日期
1393747,a032a,1858,20150926
1314512,a1074529643,7.2,20150926
1298159,a1106450217,10,20150926
1373969,a1300425211,1254.2,20150926
1237075,a13346560676,1209,20150926
1397544,a1350401a,0.8,20150926
1254167,a13697807862,142,20150926
1043481,a13964363450,20.4,20150926
1130771,a1506396250,560,20150926
959466,a152750,1313.4,20150926
841565,a18254355259,0.6,20150926
1386293,a188,2,20150926
1110693,a18996082532,7.8,20150926
1269244,a198509120,6,20150926
1008019,a20130904,6,20150926
1334928,a2281062,170,20150926
1155578,a2512347gf,320,20150926
1317360,a284801231,669.6,20150926
1370662,a292587780,2,20150926
1380481,a304463242,1.2,20150926
1389518,a32100105,90,20150926
1374490,a33313333,0.2,20150926
1090090,a3423708,40,20150926
872214,a368963091,20,20150926
1396584,a445667512,518.6,20150926
998980,a455221112,2,20150926
1287678,a464519762,34,20150926
1367460,a476370121,148,20150926
1368450,a525458246,10,20150926
1368851,a52950309,20,20150926
1382394,a541972999,2,20150926
1236339,a5890369,6562,20150926
1369792,a6660666,72.6,20150926
1365959,a6661666,0.6,20150926
1254459,a6666,44,20150926
1178320,a841209592,2.8,20150926
1096455,a86315422,792,20150926
1373491,a877890477,50,20150926
1394410,a8881271,3194.2,20150926
1380639,a8883888,10,20150926
1045851,a910901,12,20150926
1278848,a920117,0.8,20150926
1268019,aa122073440,8,20150926
299593,aa133a88j,3320,20150926
1334699,aa284999239,0.8,20150926
1393951,aa94220865,2,20150926
1309744,aaa6688520,4,20150926
1378564,aaaa147258,4000,20150926
1386237,ab198456,30,20150926
1373573,abc0769,124,20150926
1381708,abc13734617792,2.4,20150926
1366512,abc2927264,20,20150926
1244154,ac335512,2086.4,20150926
700530,ad88015,16.4,20150926
1195993,afuhong2015,4,20150926
1266271,ag845381060,18,20150926
1306380,ahuiaini11,2940,20150926
852467,aibili2013,34.8,20150926
1390411,aicaiwuge518,1566,20150926
1338892,ailaibao,268,20150926
1277544,aiqingqing,18,20150926
1385353,alexeryy68,90.8,20150926
1286510,amway1,198,20150926
