用户ID,用户名,每日投注累积,日期
1393747,a032a,3242,20150930
1101961,a03743a,299,20150930
1314512,a1074529643,1.2,20150930
1298159,a1106450217,10,20150930
1112093,a11468476,202,20150930
1271786,a12010357,57.8,20150930
1374371,a130635,0.6,20150930
1237075,a13346560676,2157,20150930
1397544,a1350401a,304,20150930
1043481,a13964363450,473.2,20150930
1268220,a15218998588,15511.6,20150930
959466,a152750,754.2,20150930
1278489,a15568804757,10,20150930
841565,a18254355259,98.8,20150930
1395869,a1964400976,200,20150930
1269244,a198509120,6,20150930
1008019,a20130904,60,20150930
1334928,a2281062,180,20150930
1155578,a2512347gf,480.2,20150930
1185553,a279931273,7,20150930
1317360,a284801231,2024.8,20150930
1370662,a292587780,60,20150930
1380481,a304463242,29877.6,20150930
1374490,a33313333,1,20150930
1290849,a3394588,2,20150930
1090090,a3423708,22,20150930
872214,a368963091,166,20150930
1391590,a450351217,344.4,20150930
1397871,a452948133,8.6,20150930
1200001,a4575975,662.8,20150930
1287678,a464519762,32,20150930
1384076,a470800321,4.4,20150930
666806,a501979875,12,20150930
1282646,a52346740,5.2,20150930
1368450,a525458246,18,20150930
1236339,a5890369,1232,20150930
1369792,a6660666,35.2,20150930
1304654,a692672,9.2,20150930
1298802,a695983734,2,20150930
1384007,a7698356,3,20150930
1369657,a78447255,2,20150930
1333207,a822135,144,20150930
1178320,a841209592,1.4,20150930
1373491,a877890477,10,20150930
1394410,a8881271,2250.4,20150930
1380639,a8883888,56,20150930
1091741,a91670,2,20150930
1278848,a920117,4.2,20150930
1393449,aa1066010646,80,20150930
299593,aa133a88j,110604,20150930
1384477,aa2580s,0.2,20150930
1334699,aa284999239,0.2,20150930
1111558,aa5310,120,20150930
1309744,aaa6688520,1180,20150930
1319911,aaa812319964,1.2,20150930
1378564,aaaa147258,2040,20150930
1082784,aakk123,1439.2,20150930
1373573,abc0769,100.4,20150930
814771,abcabc6688,20,20150930
1244154,ac335512,1080.8,20150930
700530,ad88015,2.2,20150930
1289838,adu121121,250,20150930
1195993,afuhong2015,6,20150930
1266271,ag845381060,22,20150930
1336383,ai110721905,282,20150930
890001,aibuzai2013,21.2,20150930
1009892,aifangqian,100,20150930
1338892,ailaibao,4260,20150930
1277544,aiqingqing,2,20150930
1385353,alexeryy68,208.6,20150930
1381793,amay8,2,20150930
1281558,andy哥,368,20150930
1269206,anhaovip1,99.2,20150930
1263117,ankejun,41.6,20150930
1212276,as007地主,19288,20150930
437764,as71850,44,20150930
920586,asd133201,13,20150930
357207,asd9898,300,20150930
1380488,ayztlx,1691,20150930
1250996,ayzxzxzxzx,0.4,20150930
1392071,a官伟,0.8,20150930
1272515,b122032297,213.2,20150930
942091,b19999,20,20150930
1179242,b2959458016,20.4,20150930
1370420,b5518,520.2,20150930
1257266,babadan512,4480,20150930
814754,baby678,31,20150930
1395094,baihailong528,0.4,20150930
1194900,baili9988,1,20150930
1399862,baishifa1990,9,20150930
1399509,baitu,214,20150930
1317827,baobao110,85.4,20150930
1266872,baojun123,458,20150930
955283,baosheng988,24,20150930
1291046,bb923,301.6,20150930
1295559,bbff119,79.8,20150930
1312421,bdt123,58,20150930
1383641,benelf,5,20150930
875802,benlu111,470,20150930
867904,benlu88,17936,20150930
1334416,bin5201314chao,1,20150930
1289792,bing1314521,40,20150930
1312970,bingo1500,42.6,20150930
1335922,bingxue,4,20150930
1170358,boboaiav619,34,20150930
887063,bobxuan521,67.2,20150930
216391,book10,268,20150930
1397414,bosslee,388,20150930
1380638,boss小天,1.2,20150930
1276871,c18958972,17,20150930
1294462,c326256646,20,20150930
1256979,caiba126,21.8,20150930
1399353,caicaicaicai,19,20150930
1394634,caican88,2.8,20150930
1367165,caihong1688,0.8,20150930
1397393,caiyuan,757.2,20150930
1158206,carteryjpgfss,3569,20150930
1048655,cba949235400,2,20150930
1399609,cc51279186,23.8,20150930
1380075,ccb13834396936,60,20150930
1001210,cccdd88,0.6,20150930
1399243,cchenenlai,615,20150930
1268069,cct88,104,20150930
1375216,cgs152890,4.2,20150930
1337985,cgy8888,4,20150930
1367500,ch66179,50,20150930
1397614,chen333,0.4,20150930
1391676,chen87854689,10,20150930
1273445,chen8961788,728,20150930
1378380,cheng9516,0.4,20150930
1378498,chengtuozaixin,360,20150930
1277261,chenguolin,120,20150930
1067213,choushe,937.2,20150930
966772,chuancaizhong,810.6,20150930
1368773,chunchun5336,126,20150930
1270989,chyz777,5351.8,20150930
1225834,cici117,30.6,20150930
1261438,cj18956093775,2,20150930
1336441,cjd8888,100,20150930
827233,cjm666666,705.6,20150930
1122100,cjx1234,76,20150930
1189773,ckik520,13.8,20150930
438008,cncn91,303.2,20150930
873747,cntv11,20,20150930
1239216,comixqixin,1.6,20150930
1389389,coral262020,84,20150930
445860,cp3888,30,20150930
1162018,cptz858,936.2,20150930
1039279,cq2014888,20,20150930
963050,crazyjunjia2014,6722.8,20150930
999787,crazymagic,50.4,20150930
1235677,cs3d发发,96,20150930
1336529,csol5221301990,4,20150930
734432,cubs169,2000,20150930
1382103,cxlwin,260.6,20150930
1382806,cy10410935,2.8,20150930
1247802,cyjx2015,28,20150930
1101670,cyl8898,138,20150930
916239,czd88787699,801.2,20150930
1029896,czls888,3304,20150930
737987,czm16888,8400,20150930
1375953,czzy5588,34.4,20150930
1398802,dacai,92,20150930
1116174,dage1288,31.4,20150930
1020834,dajun518,16,20150930
1326986,dajunwoaini,304,20150930
1384778,dalongwudi,13.8,20150930
1219383,damoxiaoyan,28.8,20150930
821262,daosange2013,137.2,20150930
1381260,dap123456,196,20150930
1381943,dashengshabi,636.8,20150930
1264806,daxuesheng520,3.8,20150930
956260,dct8888,4.8,20150930
1369520,dengquan,0.6,20150930
889045,dengsc03,671.2,20150930
1246340,dg15369853535,60,20150930
957165,dhj868dhj,136,20150930
1172044,dingdang4886,2382,20150930
1255986,ditayang,1109.6,20150930
1169377,djx1688,15.6,20150930
1091652,djx20140816,4,20150930
1382183,dlf13930712228,0.4,20150930
927246,dmm541005,60,20150930
1381177,dongyin918,3752,20150930
1221732,dosa,6488,20150930
1295600,ds838,6540.6,20150930
1399568,dubobuhao,92,20150930
1395875,dusheng00,53.6,20150930
1393973,dusheng1,28,20150930
1259420,dvd010,12762,20150930
1390257,dxiaopin789,1,20150930
1325912,dxr2729134537,94,20150930
1000114,ea554381,14,20150930
1201743,emcc888,54.2,20150930
1373555,eric11a,10,20150930
1191793,ew66888,4.4,20150930
1316318,f80755281,4400,20150930
1398709,f88980,37,20150930
1299088,fa1472580,30,20150930
1216666,facai6888,38,20150930
1223588,facaivip56,1.6,20150930
1219414,fafa00120,20,20150930
1210151,fafa101018,9651,20150930
1219425,fafa88188,270,20150930
626188,fafa8830,18.2,20150930
1370183,fangyi379328607,1312.2,20150930
1393056,fanzhonghua,208.8,20150930
1397082,fbjk14,100,20150930
1294994,fdc858,11016,20150930
1393718,fei6136265,30.4,20150930
1240783,feifei1314521,5740.8,20150930
1284396,feifei1989,1,20150930
1150678,feiyuld,422,20150930
1239737,fendou,314,20150930
1294181,fenghuangqxl1128,16,20150930
1088174,fengliu20070214,150,20150930
1229063,fengshi518,2,20150930
1391026,fengzi28368,0.4,20150930
1153029,ff4466,10,20150930
1267174,ff56665,320,20150930
1367826,ffang9151,4,20150930
856710,fff570,3296,20150930
1322475,fg雪儿,20,20150930
1397974,fh007,7.2,20150930
1388244,fh0539001,14.4,20150930
1388255,fh0539002,4,20150930
960577,fh1670293907,3.6,20150930
651945,fh18750,11.4,20150930
1016647,fh2285,56,20150930
983494,fhl2468,1463.8,20150930
346149,fhvip07,10678.4,20150930
963460,firefly18,49,20150930
1186357,first9888,60,20150930
1311588,fl00095,67.2,20150930
1016240,flt8889,394,20150930
1397693,flyerhan11,87.4,20150930
1228462,flying,12,20150930
1273595,fox760317,20,20150930
1300494,ftype55,4.2,20150930
792968,fulushou,1.6,20150930
803268,fuman2013,2.2,20150930
885167,fuyang008,686,20150930
1396342,fy2866,51,20150930
1376621,fyjbaobei,40,20150930
1338123,g15703897681,1.4,20150930
1381373,g18500211986,2,20150930
1312946,g406422735,744,20150930
1291107,gaoxu770309,90,20150930
1003318,gaz8989,22.4,20150930
1031035,gbl691407543,10.2,20150930
1222309,gen5260443,8.8,20150930
1238250,gfdsa8898,30.2,20150930
1374954,gg031122,788,20150930
1100987,ggzzgg,80,20150930
1103371,gh13934653257,246,20150930
1224098,goallhzl,313.6,20150930
1381848,goudan,139,20150930
968099,guanggao1800,2.6,20150930
766812,guo788,4,20150930
1170153,guo8704,1803.2,20150930
1387035,gx83914,1210.2,20150930
1379762,gy5777,2934,20150930
1290214,gz9766,130,20150930
1149463,gzmocr,16,20150930
850951,h17186,142,20150930
1108285,h55307,2990.8,20150930
1106185,h643886141,0.2,20150930
549712,h845637552,12,20150930
1396760,hai2020qq,0.8,20150930
1400173,hai389750851,504,20150930
1152651,haier4030,1.4,20150930
309528,hak998,2,20150930
790292,handun11168,72,20150930
1288248,hangggg4645,715,20150930
1295277,hansonglinaaa,4062.2,20150930
1197107,haohao123123,940.8,20150930
1271805,haoyun121,10,20150930
774478,haoyun7459,392,20150930
1073429,happysea,52,20150930
931005,helloyao8,175,20150930
1074743,heng444,2,20150930
1023665,heyl9635,12,20150930
1041560,hhj3893590,398,20150930
1266294,hj471621332,6,20150930
867511,hm1368484,3.2,20150930
1299780,hong0003,498,20150930
1285384,hong1234,6.2,20150930
1171448,hong16888888,4,20150930
1341611,hongqixdd666,1000,20150930
1337206,hongren,100,20150930
1285855,houwl516888,62,20150930
1092826,hryjhjs,2610,20150930
1383502,hsh0444,200,20150930
1343299,hua615,20,20150930
1225103,huacao456,50.4,20150930
1310501,huajia123,6395.2,20150930
1391146,huang7758,57.2,20150930
1228038,huchenghui,270.2,20150930
1012174,huihui11,561.2,20150930
1272643,huihui558,124.2,20150930
1077112,huozhoucike,1572,20150930
795623,hx47346633,18,20150930
1372377,hxl895207,1,20150930
776342,hxw915,10,20150930
844584,hyw090319,1.2,20150930
1338208,hyw15299918120,14,20150930
1377857,hzwjcbn,1.4,20150930
1112839,id7128,325,20150930
1369384,ilylcy,34,20150930
1361391,ilyxf10000,194,20150930
405130,james1986112,36,20150930
1002798,janejane,176,20150930
984785,jaymi5088,48,20150930
896847,jcsk189,140,20150930
1270185,jeef7896,27,20150930
1293469,jeffrry,25.6,20150930
807227,jenhoo8,0.8,20150930
1375047,jhb8811870,6,20150930
1298139,jhood2015,2,20150930
1392597,jhwsx656,3.8,20150930
1373841,jhy33484,200,20150930
1221179,jia808,82.6,20150930
1370804,jia8965693465,48,20150930
1328786,jiagui1969,42,20150930
1380971,jiahaobaobei222,4.6,20150930
1377571,jiajia658,240,20150930
1381496,jiajp840819,1,20150930
998256,jiajun8023,10,20150930
1390757,jiange,4.4,20150930
1380101,jiangming1987,48,20150930
1233787,jianhao2378,101,20150930
1372507,jiaozigege,5963,20150930
1311759,jiaxinzheng,180,20150930
1298944,jiayun198725,202,20150930
1375975,jibaian2015,10,20150930
1379940,jinbao,536.2,20150930
1395660,jing123nh,2,20150930
1382241,jing52268442,838.6,20150930
1295399,jinkun,3,20150930
1377993,jinye1983,1,20150930
1281066,jinzhao88888,80,20150930
1311555,jiorong668,10,20150930
721782,jixv7773,500,20150930
1306868,jlsccs,50,20150930
657456,jnh303,1,20150930
1303211,jodiry,1,20150930
855150,jp999888,168.4,20150930
553834,jsj888,48,20150930
1082357,junlin168,20,20150930
1368278,jw19961029,25863,20150930
1279729,jw785138819,0.2,20150930
1329257,jxry880,14,20150930
1308409,jxy2733273073,118,20150930
1162773,jxyshouji666666,6,20150930
1288368,k512858031,88.6,20150930
971554,k57k2188,4,20150930
1225364,kaidi999,50,20150930
1013479,kane888,1440,20150930
1212465,kang2588,4,20150930
1395832,kapg,96,20150930
1123310,kd8cheng,220,20150930
1104897,ke120319,31700,20150930
1307724,kf95888,152,20150930
1381244,kim19821016,44,20150930
1391647,king723,6,20150930
1286433,kissbaobao888,1770,20150930
1341642,kissbaobao999,4000,20150930
1279718,kk11kk11,270,20150930
1243801,kk741756259kk,265.6,20150930
1340164,kkerr88888888,2,20150930
1336029,kkk12345,9.6,20150930
1280564,kkkssss,1994.4,20150930
1280078,kokas,638,20150930
1368314,kongxin,0.2,20150930
1400247,kuddy521,72,20150930
1101667,kws8008,52,20150930
1271658,l147192223,68,20150930
1289264,l149318,850.6,20150930
1370486,l18030847519,2,20150930
1373167,l263494347,1,20150930
1339941,l2866849,2452.8,20150930
879598,l78928,5118.4,20150930
1255016,l850391083,152.8,20150930
1238175,l915434666,0.6,20150930
940460,langzi618,20,20150930
1114629,laohebc,104.4,20150930
1261443,laoshulaoshu2015,136.2,20150930
1325031,law980078833,250,20150930
896650,lay988,4,20150930
1303434,lb326140884,482.8,20150930
1046193,lba7366,1.4,20150930
1393655,lbfwan123456,26,20150930
1214334,lbl188,1173.6,20150930
1162305,lc588888,16.8,20150930
1240848,lc741100,2,20150930
1373591,lcl1688,847.2,20150930
1399830,lcy7758,10,20150930
1381336,lcz171613,1334.4,20150930
1191445,lei2538439995,1938,20150930
991755,lengleng,742.8,20150930
1061720,lesdeinseiman,0.8,20150930
387177,letou011,410,20150930
1398851,leyan918,1880.8,20150930
1379470,lf13485250363,106,20150930
1203131,lfd2010,2194.2,20150930
1246395,lfzxtuvuvi,2,20150930
1199904,lgr597451768,66.8,20150930
1190309,lgz952325481,0.6,20150930
1268850,lh00001,372,20150930
1391815,lhw3259592320,5.2,20150930
1040865,lhxp667,1240,20150930
1341280,li123shuai,16922.6,20150930
1369925,li15935377452,20.4,20150930
754315,li59777,50,20150930
958264,li760830,840,20150930
1298456,li8442326,0.2,20150930
1271977,liangzhongguo222,4.4,20150930
1188444,lige110,0.4,20150930
1398580,liheyingailili,18,20150930
1297376,lihua0906,3784,20150930
1339206,lijian253100755,2,20150930
1221527,likejia,5790,20150930
704734,likely520,49.6,20150930
1398525,lilan,2,20150930
1368100,lilivey,1124,20150930
1256875,liluentang888,46,20150930
1107289,limengjianjian,895,20150930
1296614,limingchao,88.4,20150930
1399701,lin7613,42,20150930
1387767,linbo19930205,34,20150930
686922,linda8899,6.4,20150930
1150209,linwei1,102,20150930
1399500,linyan775577,4,20150930
1364839,linzexu888,80,20150930
1374062,liu158224390,30,20150930
1321884,liu815127,12.8,20150930
1338710,liu8325240,1868.4,20150930
956914,liuhui781201,24,20150930
1391466,liuyong520521,2.8,20150930
1269793,lixiaopeng,2.8,20150930
1167270,lixujiaqq,4584,20150930
1369708,liyahui,192.4,20150930
1205188,liyatss,201080,20150930
1394351,lizhichonglai,16,20150930
1275935,lj18582418866,654,20150930
1283315,ll317265211,0.6,20150930
1377154,ll403843091,6,20150930
1038418,lll20140128,10,20150930
1066105,lloovvee2,42,20150930
1394216,lmn美,0.8,20150930
1157655,ln664858633,4,20150930
1300825,locus689,3,20150930
1376306,loliipop521,2,20150930
1386641,longshanquan,21.6,20150930
1398833,loverkahan,5.6,20150930
1286672,loveyouhlj,2,20150930
1399398,lq147258,15.2,20150930
1381575,ls19841111,78733.2,20150930
1262489,lsj243059,407.4,20150930
1343358,lsl727496,2,20150930
1393841,luoyichen201155,300.6,20150930
1291377,lushaofeng,77.6,20150930
1272049,lushengabc,1,20150930
1163454,lushuxing,44,20150930
1338330,lx990521,1195.6,20150930
1375744,lxd888888,46.6,20150930
1278708,lxjzqr,810,20150930
1378647,lxlyl01,1.2,20150930
1378099,lxs726,29.4,20150930
1307050,ly1351360111ly,24,20150930
1378401,ly380360570,4,20150930
1373366,lydyz36264,10230,20150930
1301072,lyp529929,0.4,20150930
850131,lyp8888,29.4,20150930
1122996,lzx816629,64,20150930
1396992,l冷婵,0.4,20150930
1011743,m11yfrong,2.8,20150930
1229295,macal888,214,20150930
1277586,mahao002,6,20150930
1288192,maosimon,1590,20150930
1268595,maxiaohua,10,20150930
1229770,mayangjian001,14,20150930
1336755,maying888,326.6,20150930
104905,mbfuqi,704,20150930
1239105,mc2478962405,50,20150930
1287814,md998,100,20150930
1377458,mengbudao1202,2,20150930
1262338,mensa810,62,20150930
564314,mglt888,244,20150930
1397090,mg拥抱,0.2,20150930
1380412,miguanguan,4,20150930
1370278,mikksss,8,20150930
1158716,misiwang,2886,20150930
1308155,mjb2615255,536,20150930
1092698,mjb2616255,3972.8,20150930
723673,mjz2444,598,20150930
1221616,mlj8889,10,20150930
1179821,mlpyf,935,20150930
1311030,mm1096,22,20150930
1380968,mm569426763,0.4,20150930
749441,mmgg025,0.6,20150930
738521,mmgg119,4,20150930
1330406,mmmzzrlyzxr,0.4,20150930
